Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
USA,104196861,1132935,101322779,1741147,1159832679,334805269
India,44682784,530740,44150289,1755,915265788,1406631776
France,39524311,164233,39264546,95532,271490188,65584518
Germany,37779833,165711,37398100,216022,122332384,83883596
Brazil,36824580,697074,35919372,208134,63776166,215353593
Japan,32588442,68399,21567425,10952618,92144639,125584838
S. Korea,30197066,33486,29740877,422703,15804065,51329899
Italy,25453789,186833,25014986,251970,265478247,60262770
UK,24274361,204171,24020088,50102,522526476,68497907
Russia,21958696,395108,21356008,207580,273400000,145805947
Spain,13731478,118434,13557699,55345,471036328,46719142
Vietnam,11526508,43186,10612479,870843,85826548,98953541
Australia,11295446,18615,11235771,41060,78835048,26068792
Argentina,10037135,130421,9877032,29682,35716069,46010234
Taiwan,9569611,16356,9129766,423489,30207485,23888595
Netherlands,8582500,22989,8547771,11740,25984435,17211447
Iran,7564350,144749,7337549,82052,54420785,86022837
Mexico,7368252,332198,6606633,429421,19356195,131562772
Indonesia,6730289,160817,6565208,4264,114158919,279134505
Poland,6380225,118736,5335940,925549,38118630,37739785
Colombia,6356309,142486,6179501,34322,36951507,51512762
Austria,5780229,21689,5730189,28351,211273524,9066710
Greece,5708301,35630,5662212,10459,102228365,10316637
Portugal,5563907,26022,5532366,5519,45915651,10140570
Ukraine,5370131,111020,5253302,5809,32603805,43192122
Chile,5118981,63812,5051555,3614,48127301,19250195
Malaysia,5036593,36942,4989861,9790,67665089,33181072
Israel,4786189,12193,4768242,5754,41373364,9326000
Thailand,4726984,33865,4692636,483,17270775,70078203
Belgium,4691499,33557,4644681,13261,36548544,11668278
Czechia,4590019,42312,4538304,9403,56893223,10736784
Canada,4550256,50380,4444013,55863,66343123,38388419
Peru,4481621,218931,4258688,4002,37754603,33684208
Switzerland,4385701,14452,4366770,4479,23318743,8773637
Philippines,4073454,65802,3998048,9604,34343332,112508994
South Africa,4055966,102595,3912506,40865,26473049,60756135
Romania,3325006,67576,3252104,5326,26389988,19031335
Denmark,3173247,8145,3163849,1253,129144754,5834950
Hong Kong,2877280,13358,2509483,354439,76123870,7604299
Sweden,2693458,23246,2658039,12173,19410527,10218971
Serbia,2471198,17701,2440527,12970,12154486,8653016
Iraq,2465545,25375,2439497,673,19544451,42164965
Singapore,2217110,1722,2144490,70898,24756666,5943546
Hungary,2192447,48677,2139857,3913,11394556,9606259
New Zealand,2182355,3781,2169320,9254,7710637,4898203
Bangladesh,2037556,29442,1992694,15420,15247014,167885689
Slovakia,1860893,20946,1839309,638,7390781,5460193
Georgia,1814180,16926,1776548,20706,16920079,3968738
Jordan,1746997,14122,1731007,1868,17201885,10300869
Ireland,1700253,8462,1685183,6608,12984257,5020199
Pakistan,1576313,30640,1538689,6984,30570862,229488994
Norway,1477856,5112,1471835,909,11002430,5511370
Finland,1458619,8639,1447569,2411,12017711,5554960
Kazakhstan,1405917,13695,1383020,9202,11575012,19205043
Slovenia,1321852,7056,1311159,3637,2824843,2078034
Lithuania,1296865,9545,1282528,4792,10350770,2661708
